0,1,214,159,222,222,0.378969193,0,-0.138934612,0,-0.765717834,0,-0.274677992,0,0.262978792,0,0.089196444,0,0.221932828,0,0.096407294,0,0.205490112,0,2.150554657,0,0.378969193,0,0.262978792,0,-0.2432338,-0.08631016,-1.73236,-2.466066,-2.195979,-2.165953,-3.387387,-0.9120291,-1.902984,-0.7213223,-0.8146805,0.5216459,-0.7656844,-2.220951,-0.514929,-0.143406,-2.85821,-2.170522,-2.060193,1.281726,-7.819416,5.408959,2.300032,265.7345,219.3371,0,0,304.9924,226.1083,356.2809,223.0106,0,0,399.5818,219.8059,332.4325,278.3758,0,0
1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,214,159,221,221,0.013589382,0,-0.275574684,0,-0.663911909,0,-0.380075932,0,0.259964973,0,-0.223242283,0,0.300838172,0,-0.011407495,0,0.107143402,0,2.214310408,0,0.013589382,0,0.300838172,0,-0.1124704,0.008915049,-1.628448,-2.424968,-2.351446,-2.228693,-3.551807,-1.017909,-2.043909,-0.8082758,-0.9020396,0.6669022,-0.5296396,-2.370729,-0.5709044,-0.1718273,-2.938638,-2.210737,-2.2615,1.204132,-7.278324,5.099536,2.449716,266.5996,220.1118,0,0,304.4723,226.4739,355.9244,222.6213,0,0,400.5654,218.9305,331.4315,277.0831,0,0
3,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1,215,159,220,220,-0.123854876,0,-0.23406744,0,-0.614589781,0,-0.451468945,0,0.269113511,0,-0.351842403,0,0.185341656,0,-0.007686138,0,0.108285904,0,2.287061691,0,-0.123854876,0,0.269113511,0,-0.1333117,0.02129821,-1.632102,-2.369405,-2.448023,-2.238446,-3.591807,-1.05616,-2.111903,-0.852917,-1.043072,0.6121611,-0.4401979,-2.429857,-0.6755725,-0.1991737,-2.979865,-2.237765,-2.298211,1.212142,-7.365597,5.06982,2.411015,266.66,219.3769,0,0,304.5248,225.9707,357.2758,222.8112,0,0,399.33,218.565,331.5799,277.2749,0,0
9,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1,215,157,222,222,-0.154231787,0,0.074235439,0,0,0,0.097717285,0,0.082668126,0,-0.344957829,0,-0.017768979,0,-0.107499719,0,-0.106090069,0,2.182112694,0,-0.154231787,0,0.097717285,0,-0.2752678,0.01093022,-1.495678,-1.568349,-2.31282,-1.892433,-3.56378,-0.983092,-2.209966,-1.071369,-1.024939,0.513024,-0.267207,-2.249084,-0.9791923,-0.3172202,-2.865747,-2.177414,-2.326107,0.7295567,-8.62431,5.288688,2.513962,267.6501,217.187,0,0,305.5663,224.417,357.8543,221.0251,0,0,400.7948,217.5582,332.2214,276.7107,0,0
15,1,214,156,223,223,-0.083713531,0,0.332422018,0,-0.03271243,0,0.153683662,0,0.07575804,0,-0.301892281,0,-0.022406936,0,0.049780846,0,0.13598907,0,2.039663076,0,-0.083713531,0,0.332422018,0,-0.3904851,-0.1197391,-1.540924,-1.47809,-2.19606,-1.799882,-3.553158,-0.9405544,-2.159256,-1.048383,-1.004427,0.549789,-0.1321331,-2.414623,-0.9004558,-0.2097864,-2.840455,-2.150867,-2.391862,0.5473459,-8.900927,5.033168,2.648227,267.0794,216.822,0,0,306.192,223.9846,358.7975,220.175,0,0,400.3408,217.254,332.0743,278.2333,0,0
16,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
