#Study : inntec breve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Date : 20180219 13:16:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Version : 6.3.6059.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#TestRunDate : 20170428 15:39:01.919 (-05:00),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# Applied FACET Baseline: Joy=(0.1246796), Anger=(-1.374986), Surprise=(-1.891402), Fear=(-0.9590294), Contempt=(0.4933435), Disgust=(-0.5681291), Sadness=(-0.6981605), Neutral=(0.9820855), Positive=(0.1246796), Negative=(0.4933435), Confusion=(-1.234406), Frustration=(-0.6914423)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StudyName,ExportDate,Name,Age,Gender,StimulusName,SlideType,EventSource,Timestamp,MediaTime,PostMarker,Annotation,FrameNo,FrameTime,NoOfFaces,FaceRect X,FaceRect Y,FaceRect Width,FaceRect Height,Joy Evidence,Joy Intensity,Anger Evidence,Anger Intensity,Surprise Evidence,Surprise Intensity,Fear Evidence,Fear Intensity,Contempt Evidence,Contempt Intensity,Disgust Evidence,Disgust Intensity,Sadness Evidence,Sadness Intensity,Confusion Evidence,Confusion Intensity,Frustration Evidence,Frustration Intensity,Neutral Evidence,Neutral Intensity,Positive Evidence,Positive Intensity,Negative Evidence,Negative Intensity,AU1 Evidence,AU2 Evidence,AU4 Evidence,AU5 Evidence,AU6 Evidence,AU7 Evidence,AU9 Evidence,AU10 Evidence,AU12 Evidence,AU14 Evidence,AU15 Evidence,AU17 Evidence,AU18 Evidence,AU20 Evidence,AU23 Evidence,AU24 Evidence,AU25 Evidence,AU26 Evidence,AU28 Evidence,AU43 Evidence,Yaw Degrees,Pitch Degrees,Roll Degrees,LEFT_EYE_LATERAL X,LEFT_EYE_LATERAL Y,LEFT_EYE_PUPIL X,LEFT_EYE_PUPIL Y,LEFT_EYE_MEDIAL X,LEFT_EYE_MEDIAL Y,RIGHT_EYE_MEDIAL X,RIGHT_EYE_MEDIAL Y,RIGHT_EYE_PUPIL X,RIGHT_EYE_PUPIL Y,RIGHT_EYE_LATERAL X,RIGHT_EYE_LATERAL Y,NOSE_TIP X,NOSE_TIP Y,7 X,7 Y,LiveMarker,KeyStroke,MarkerText,SceneType,SceneOutput,SceneParent
inntec breve,20180219,test A,40,MALE,Emotient_Baseline,TestImage,Emotient FACET,44,,,,-1,0,1,181,265,170,170,0.189382575,0,0.148810983,0,0.125993609,0,0.445023477,0,0.028971642,0,-0.095101297,0,0.075810969,0,0.193391323,0,0.155350804,0,0.998212337,0,0.189382575,0,0.445023477,0,-0.727287,-0.6106811,-0.7200179,-1.28981,-0.4643465,-0.5220705,-1.293539,0.2600262,-0.3430267,-0.03171012,0.06792267,0.026467,-0.7485213,0.08508386,-0.3258424,-0.07202071,-0.5709659,-0.3223367,-0.6032143,-0.2241359,14.90822,4.79482,-3.302572,216.1996,311.9727,0,0,252.8033,315.0683,291.6052,316.6194,0,0,321.101,314.5428,275.5074,353.724,0,0,,,,,,
inntec breve,20180219,test A,40,MALE,Emotient_Baseline,TestImage,Emotient FACET,191,,,,0,223,1,184,262,160,160,-0.273307987,0,0.154387236,0,-0.578882456,0,-0.285682023,0,-0.030106127,0,0.122237146,0,0.244707167,0,0.845432937,0,0.546562195,0,0.9931041,0,-0.273307987,0,0.244707167,0,-0.7226296,-0.6022199,-0.3254107,-1.960522,-0.3680983,-0.4632147,-0.5305679,0.2012839,-0.5611201,-0.05903184,-0.04415045,-0.07180387,-1.059204,0.1272143,-0.4104598,-0.2570113,-0.4467529,-0.09679141,-0.4896345,1.480342,13.05363,2.316509,-3.31161,217.7991,306.3143,0,0,255.6792,307.3368,289.6382,309.3623,0,0,318.277,314.3181,274.9432,345.3787,0,0,,,,,,
inntec breve,20180219,test A,40,MALE,Emotient_Baseline,TestImage,Emotient FACET,294,,,,1,257,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inntec breve,20180219,test A,40,MALE,Emotient_Baseline,TestImage,Emotient FACET,399,,,,2,290,1,179,260,166,166,0.068309881,0,0.029658794,0,-0.474308729,0,-0.239532053,0,-0.145441771,0,0.087467879,0,0.144498825,0,0.549088836,0,0.448424444,0,0.930864513,0,0.068309881,0,0.144498825,0,-0.7869895,-0.7094462,-0.5933791,-1.84538,-0.1819801,-0.4240366,-0.9608588,0.2539453,-0.2983128,0.05680132,0.06135531,0.06109995,-0.7988889,0.1027083,-0.1282893,-0.02162493,-0.5246772,-0.08783495,-0.4874102,0.4130299,11.55844,2.481587,-3.041239,213.2464,307.8068,0,0,252.0372,306.4445,287.9983,309.6585,0,0,317.4575,309.7476,271.3166,345.8056,0,0,,,,,,
inntec breve,20180219,test A,40,MALE,Emotient_Baseline,TestImage,Emotient FACET,502,,,,3,323,1,177,259,168,168,0.089651145,0,-0.085316777,0,-0.495981932,0,-0.218800485,0,-0.14359805,0,-0.069169998,0,0.17708075,0,0.570214212,0,0.355409682,0,1.022808671,0,0.089651145,0,0.17708075,0,-0.7515922,-0.7302252,-0.6006269,-1.839713,-0.3746574,-0.4851259,-1.199461,0.09866615,-0.3304573,-0.03798806,0.009625673,0.05663246,-0.7931777,0.08188064,-0.2280979,-0.04443123,-0.498213,-0.09937757,-0.3691189,0.2304327,11.31541,3.11296,-3.255624,211.9737,307.3589,0,0,248.2617,308.3391,286.7653,308.8541,0,0,317.0361,308.7673,269.5447,345.658,0,0,,,,,,
inntec breve,20180219,test A,40,MALE,Emotient_Baseline,TestImage,Emotient FACET,556,,,,4,589,1,181,263,167,167,0.143315785,0,0.055614829,0,0.044840932,0,0.111643493,0,-0.139943898,0,-0.027786613,0,0.017351031,0,0.290125072,0,0.197718084,0,0.914486587,0,0.143315785,0,0.111643493,0,-0.7753163,-0.7020969,-0.6244848,-1.118512,-0.2355641,-0.3763402,-1.176349,0.3175002,-0.3945346,-0.07091853,0.06376445,0.03728657,-0.7560472,0.1479087,-0.3557365,-0.1803796,-0.3480218,-0.05579939,-0.4932366,-0.4838568,11.68765,4.910445,-2.573806,215.8328,310.6334,0,0,250.3196,311.6118,289.3907,312.603,0,0,319.1907,311.5912,274.1105,349.3718,0,0,,,,,,
inntec breve,20180219,test A,40,MALE,Emotient_Baseline,TestImage,Emotient FACET,612,,,,5,622,1,181,261,167,167,0.005525298,0,0.046344876,0,-0.105784774,0,0.061404526,0,-0.143426299,0,-0.184303761,0,0.021388769,0,0.175859094,0,0.115542173,0,0.913825333,0,0.005525298,0,0.061404526,0,-0.7097726,-0.7370956,-0.6458679,-1.166668,-0.3206419,-0.363011,-1.362885,0.2022324,-0.4679815,-0.1438619,-0.1150386,-0.03225008,-0.703902,0.1162215,-0.4916357,-0.2601497,-0.3572403,-0.07321965,-0.7007272,-0.6510577,12.13638,4.702365,-2.645853,217.4588,308.6645,0,0,251.4047,311.1689,291.4964,311.9295,0,0,321.215,309.7461,273.3136,348.0764,0,0,,,,,,
inntec breve,20180219,test A,40,MALE,Emotient_Baseline,TestImage,Emotient FACET,692,,,,6,656,1,183,262,166,166,-0.091129351,0,0.25797224,0,0.040890336,0,0.171509862,0,-0.230440497,0,-0.033839047,0,0.007580698,0,0.252952516,0,0.165741682,0,0.853960395,0,-0.091129351,0,0.25797224,0,-0.7253737,-0.7117194,-0.6122416,-0.9805062,-0.2852244,-0.384477,-1.210587,0.3391739,-0.515283,-0.1413629,-0.08091337,-0.05548957,-0.7343029,0.1286028,-0.5278912,-0.296115,-0.3635952,-0.10989,-0.6456711,-0.7354816,12.36774,5.140903,-2.792087,219.0234,309.5987,0,0,253.2948,310.0359,293.0623,312.1634,0,0,322.1641,310.4917,274.9376,348.0382,0,0,,,,,,
inntec breve,20180219,test A,40,MALE,Emotient_Baseline,TestImage,Emotient FACET,746,,,,7,689,1,185,261,168,168,-0.151295552,0,0.200788498,0,-0.020558476,0,0.243396699,0,-0.318373099,0,-0.431690216,0,-0.088887572,0,0.142182112,0,0.170529723,0,0.765665591,0,-0.151295552,0,0.243396699,0,-0.6413062,-0.6915733,-0.5973301,-0.9501145,-0.3010461,-0.2419395,-1.453215,0.2456289,-0.475718,-0.1764368,-0.05571561,-0.009543997,-0.6318623,0.1665618,-0.4585274,-0.2246079,-0.3849036,-0.1176813,-0.7999724,-0.8891894,11.96133,4.391007,-2.401818,221.2327,308.3449,0,0,255.6389,310.3612,294.6948,311.4734,0,0,326.8515,310.6282,277.3965,346.8289,0,0,,,,,,
inntec breve,20180219,test A,40,MALE,Emotient_Baseline,TestImage,Emotient FACET,799,,,,8,722,1,187,261,167,167,-0.035608821,0,0.137856603,0,0.126438498,0,0.266921639,0,-0.227298856,0,-0.320415378,0,-0.102703691,0,0.032761931,0,0.076936781,0,0.885500491,0,-0.035608821,0,0.266921639,0,-0.6510096,-0.6645268,-0.6932591,-0.9601408,-0.2986271,-0.3283739,-1.466552,0.2511645,-0.454836,-0.129008,-0.08229687,-0.02615607,-0.587956,0.08021578,-0.4733379,-0.2154691,-0.4022558,-0.1015837,-0.7032166,-0.8538653,12.22241,4.0668,-2.429434,222.822,308.4875,0,0,256.7337,309.8731,296.8871,311.1737,0,0,326.871,310.3773,278.8528,346.9926,0,0,,,,,,
